,title,view_count,like_count,duration,title_length,giveaway
283,STUPIDEST PERSN ON EART (Really Dumb),2482871,186407,326.0,37,0
284,"Reading The Entire Bee Movie Script But Everytime They Say ""Bee"" I Repeat All the Previous Bees",10759669,216012,5459.0,95,0
285,THE WORST THINGS EVER TO EXIST,3681928,330502,318.0,30,0
286,BLOWING UP $1000 KEYBOARD *RIP WALLET*,3820435,229742,316.0,38,1
287,MY $1000 KEYBOARD CHANGED MY LIFE,13343243,359094,213.0,33,1
288,I BOUGHT A 1000$ KEYBOARD,1524825,36766,381.0,25,1
289,IF ONLINE ADS WERE REAL,9810669,587430,276.0,23,0
290,IT FINALLY CAME IN THE MAIL,260043,9555,333.0,27,0
291,Bleach Bottle Flips (COP CALLED),1185673,54896,283.0,32,0
292,Hi Me In A Year (Scheduled Uploaded A Year Ago),1375783,46679,119.0,47,0
293,Epic New Gaming And Youtube Setup 2016,356144,13350,300.0,38,0
294,24 HOUR EXPLOSION GIVEAWAY! WIN GIFTCARDS,636347,29634,86402.0,41,0
295,LISTENING TO OLD VOICEMAILS FOR THE FIRST TIME,280867,9733,313.0,46,0
296,GAMBLING MONEY WITH SCRATCH OFF TICKETS,2990796,58422,476.0,39,0
297,BEST WALMART TOILET PAPER FORT,1433137,50704,256.0,30,0
298,100 LAYERS OF SARAN WRAP + TOILET PAPER!!,3178044,136550,483.0,41,0
299,WORST REVIEWS ON AMAZON #4 *FUNNY*,1634848,126328,259.0,34,0
300,HOW MUCH MONEY DO YOUTUBERS MAKE?,3045463,152459,205.0,33,0
301,THE WORST SONG ON YOUTUBE *CRINGE*,781168,41024,248.0,34,0
302,SURPRISING MY BROTHER WITH A LAPTOP,1597603,114014,176.0,35,0
303,"SELLING ORGANS FOR $1,000,000",3521203,122286,335.0,29,1
304,POKEMON GO STEREOTYPES,2175223,63357,207.0,22,0
305,"100,000 SUBSCRIBERS.EXE",1025922,61804,266.0,23,0
306,WORST REVIEWS ON AMAZON #2 HOW IS THIS LEGAL?,1160686,46011,290.0,45,0
307,BLOWING UP MY TABLET,144442,6592,164.0,20,0
308,Worst Reviews On Amazon #1 (Minecraft Edition),694976,16951,256.0,46,0
309,WORST THUMBNAILS ON YOUTUBE #3,782678,32675,184.0,30,0
310,REACTING TO MY OLD MINECRAFT VIDEOS (HORRIBLE),1283142,35057,545.0,46,0
311,HOW TO MAKE A GOOD INTRO FOR YOUTUBE,163480,5512,184.0,36,0
312,WORST BANNERS ON YOUTUBE #1,630586,17686,255.0,27,0
313,"50,000 Subscribers.exe",320716,14671,215.0,22,0
314,Dude Perfect 4.0 - We Are Totally Better,393044,12323,222.0,40,0
